Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Khandala,Pune,June,Monsoon,No,Rainy,High,Families,No,Low,Low,Low
Lonavala,Pune,October,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Aga Khan Palace,Pune,April,Summer,No,Hot,Low,Families,Yes,Medium,Low,Low
Ellora Caves,Aurangabad,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Panchgani,Satara,May,Summer,No,Humid,Low,Students,Yes,Medium,Low,High
Ajanta Caves,Aurangabad,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Medium
Ellora Caves,Aurangabad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Raigad Fort,Raigad,December,Winter,No,Cool,Medium,Families,No,Low,Low,High
Elephanta Caves,Mumbai,July,Monsoon,No,Humid,Low,Foreign Tourists,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Low,High,Medium
Kaas Plateau,Satara,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Medium
Raigad Fort,Raigad,June,Monsoon,No,Humid,High,Families,No,Low,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Low,Low
Lonavala,Pune,May,Summer,No,Warm,Low,Solo Travelers,No,Low,Low,Low
Matheran,Raigad,May,Summer,Yes,Humid,Medium,Couples,No,Medium,Low,Low
Ellora Caves,Aurangabad,August,Monsoon,No,Rainy,Low,Students,No,Low,Low,Medium
Ellora Caves,Aurangabad,October,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,High
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Pleasant,High,Solo Travelers,No,Low,Low,Low
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,April,Summer,No,Humid,Low,Couples,No,Medium,High,High
Aga Khan Palace,Pune,May,Summer,No,Hot,Low,Students,Yes,Medium,Medium,Low
Raigad Fort,Raigad,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,High
Kaas Plateau,Satara,December,Winter,Yes,Pleasant,High,Foreign Tourists,No,Low,High,High
Raigad Fort,Raigad,February,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,High
Matheran,Raigad,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,High
Lonavala,Pune,January,Winter,Yes,Cool,Low,Families,No,Medium,Low,Low
Shirdi,Ahmednagar,February,Winter,No,Cool,Low,Solo Travelers,No,Low,High,Medium
Shirdi,Ahmednagar,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,Low
Tarkarli Beach,Sindhudurg,December,Winter,No,Cool,Medium,Families,No,Low,Medium,Low
Panchgani,Satara,December,Winter,No,Pleasant,Medium,Students,No,High,Low,Low
Panchgani,Satara,August,Monsoon,Yes,Rainy,Medium,Families,Yes,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,High
Raigad Fort,Raigad,December,Winter,No,Pleasant,Medium,Couples,No,Low,Low,High
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Solo Travelers,Yes,Low,High,High
Mahabaleshwar,Satara,June,Monsoon,No,Humid,High,Students,No,Low,Low,Medium
Matheran,Raigad,May,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Medium
Kaas Plateau,Satara,April,Summer,Yes,Humid,High,Families,Yes,High,Medium,Medium
Lonavala,Pune,April,Summer,No,Warm,Low,Students,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Medium
Ajanta Caves,Aurangabad,December,Winter,Yes,Cool,High,Families,Yes,Medium,Low,Low
Panchgani,Satara,May,Summer,No,Hot,Medium,Students,No,Medium,Low,Medium
Khandala,Pune,December,Winter,No,Pleasant,Medium,Students,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Medium,Low,High
Elephanta Caves,Mumbai,May,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Cool,High,Couples,No,High,High,Medium
Tarkarli Beach,Sindhudurg,February,Winter,No,Cool,Medium,Families,No,Low,Low,High
Panchgani,Satara,October,Post-Monsoon,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Lonavala,Pune,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,High
Bhimashankar Temple,Pune,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Shirdi,Ahmednagar,January,Winter,No,Pleasant,Medium,Couples,No,High,Low,Low
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,May,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Lonavala,Pune,January,Winter,Yes,Cool,High,Students,No,Low,Low,High
Mahabaleshwar,Satara,January,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,High
Panchgani,Satara,March,Summer,Yes,Hot,Medium,Students,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,April,Summer,Yes,Hot,Low,Families,No,High,Medium,Low
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Foreign Tourists,No,Medium,High,Low
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,Low,Families,No,Medium,High,Low
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,No,Warm,Low,Students,No,Medium,Low,High
Gateway of India,Mumbai,November,Post-Monsoon,No,Clear,Medium,Families,Yes,Low,Low,Medium
Kaas Plateau,Satara,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Bhimashankar Temple,Pune,December,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,High,Medium
Matheran,Raigad,June,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Aga Khan Palace,Pune,June,Monsoon,No,Humid,Medium,Families,Yes,Low,High,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,No,Cool,Low,Foreign Tourists,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,May,Summer,Yes,Warm,Medium,Families,Yes,High,Low,Low
Shirdi,Ahmednagar,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,Low
Ellora Caves,Aurangabad,February,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Low
Gateway of India,Mumbai,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,High
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Couples,Yes,Low,Low,High
Shirdi,Ahmednagar,December,Winter,No,Pleasant,Medium,Couples,No,Low,High,Low
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Medium,Families,No,Low,High,Medium
Ellora Caves,Aurangabad,February,Winter,Yes,Pleasant,High,Couples,Yes,High,Low,Medium
Bhimashankar Temple,Pune,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Low,High,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,No,Clear,Medium,Families,No,High,Low,High
Khandala,Pune,March,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,Low,Low,Low
Khandala,Pune,March,Summer,Yes,Warm,Medium,Couples,No,High,Low,Low
Pratapgad Fort,Satara,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,Low
Raigad Fort,Raigad,May,Summer,Yes,Hot,High,Solo Travelers,No,High,Low,Medium
Ellora Caves,Aurangabad,July,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Ajanta Caves,Aurangabad,December,Winter,No,Cool,Medium,Foreign Tourists,No,Medium,Low,Medium
Bhimashankar Temple,Pune,December,Winter,Yes,Cool,High,Students,No,Medium,High,Medium
Gateway of India,Mumbai,September,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,High,Medium
Shirdi,Ahmednagar,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Bhimashankar Temple,Pune,May,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Ajanta Caves,Aurangabad,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Ellora Caves,Aurangabad,July,Monsoon,No,Humid,Medium,Students,No,Low,Medium,High
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Low,High
Matheran,Raigad,February,Winter,Yes,Cool,High,Families,No,Low,Low,Low
Ellora Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Students,No,Low,Low,Low
Panchgani,Satara,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Shirdi,Ahmednagar,September,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,High
Panchgani,Satara,June,Monsoon,No,Rainy,High,Students,No,Low,Low,High
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Shirdi,Ahmednagar,July,Monsoon,No,Humid,Low,Families,No,Low,High,Low
Lonavala,Pune,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,High,Medium
Panchgani,Satara,April,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Medium
Shirdi,Ahmednagar,December,Winter,No,Pleasant,Medium,Couples,No,High,High,High
Pratapgad Fort,Satara,January,Winter,Yes,Pleasant,Low,Foreign Tourists,No,Medium,Medium,Low
Daulatabad Fort,Aurangabad,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Matheran,Raigad,March,Summer,Yes,Humid,Medium,Families,No,Medium,Medium,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,No,Medium,High,High
Raigad Fort,Raigad,October,Post-Monsoon,Yes,Clear,High,Students,No,Low,Low,Low
Bhimashankar Temple,Pune,January,Winter,Yes,Cool,High,Families,No,Low,High,High
Mahabaleshwar,Satara,May,Summer,No,Humid,Low,Couples,No,Medium,Low,Medium
Gateway of India,Mumbai,March,Summer,No,Warm,Low,Students,Yes,Medium,Low,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,High,Families,No,Medium,Low,High
Kaas Plateau,Satara,April,Summer,No,Hot,Low,Students,Yes,Medium,Low,Medium
Panchgani,Satara,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,High
Kaas Plateau,Satara,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,High
Panchgani,Satara,September,Monsoon,Yes,Humid,Low,Foreign Tourists,No,Medium,Medium,Medium
Ellora Caves,Aurangabad,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,High,Low,High
Bhimashankar Temple,Pune,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Medium,Low
Daulatabad Fort,Aurangabad,April,Summer,No,Humid,High,Couples,No,Medium,Low,Low
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,Medium
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Kaas Plateau,Satara,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Rainy,Low,Foreign Tourists,Yes,Medium,Medium,High
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Families,Yes,Medium,Low,High
Mahabaleshwar,Satara,January,Winter,No,Cool,Medium,Solo Travelers,No,Medium,Low,High
Khandala,Pune,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,High
Pratapgad Fort,Satara,May,Summer,No,Hot,Low,Foreign Tourists,No,High,Low,Low
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Elephanta Caves,Mumbai,February,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Low
Pratapgad Fort,Satara,June,Monsoon,No,Rainy,Low,Couples,No,Low,High,Medium
Khandala,Pune,January,Winter,Yes,Cool,High,Solo Travelers,Yes,High,Low,Low
Lonavala,Pune,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,High
Kaas Plateau,Satara,April,Summer,Yes,Humid,Medium,Solo Travelers,No,High,High,High
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,Low
Aga Khan Palace,Pune,November,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,Low
Khandala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,High,Low,Low
Aga Khan Palace,Pune,March,Summer,No,Humid,Medium,Families,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,December,Winter,Yes,Pleasant,High,Couples,Yes,Medium,High,High
Elephanta Caves,Mumbai,May,Summer,Yes,Warm,Medium,Students,Yes,Low,Low,High
Mahabaleshwar,Satara,May,Summer,Yes,Humid,Medium,Families,No,High,Medium,High
Elephanta Caves,Mumbai,December,Winter,Yes,Pleasant,High,Families,Yes,Medium,Low,Low
Matheran,Raigad,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,June,Monsoon,Yes,Humid,Medium,Students,Yes,High,Low,Medium
Panchgani,Satara,August,Monsoon,No,Humid,Medium,Foreign Tourists,No,Low,Medium,Medium
Elephanta Caves,Mumbai,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Medium,High
Ajanta Caves,Aurangabad,January,Winter,No,Pleasant,Medium,Students,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,July,Monsoon,Yes,Humid,Medium,Students,No,Low,Low,High
Pratapgad Fort,Satara,September,Monsoon,No,Humid,High,Students,No,Low,Low,High
Ajanta Caves,Aurangabad,April,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Ellora Caves,Aurangabad,February,Winter,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Pleasant,High,Families,Yes,Medium,High,Medium
Panchgani,Satara,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,May,Summer,No,Warm,Medium,Foreign Tourists,No,High,High,Medium
Ajanta Caves,Aurangabad,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,Low
Matheran,Raigad,October,Post-Monsoon,No,Clear,Medium,Families,Yes,Low,High,Low
Panchgani,Satara,June,Monsoon,No,Humid,High,Students,No,Low,Low,Medium
Shirdi,Ahmednagar,February,Winter,No,Pleasant,Medium,Couples,Yes,Low,High,Medium
Lonavala,Pune,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,High
Elephanta Caves,Mumbai,January,Winter,No,Cool,High,Couples,Yes,Medium,Low,High
Panchgani,Satara,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Low
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,Medium,Students,No,Medium,Low,Low
Aga Khan Palace,Pune,March,Summer,No,Humid,Low,Couples,No,Low,Low,Low
Daulatabad Fort,Aurangabad,April,Summer,Yes,Warm,High,Foreign Tourists,Yes,High,Low,Low
Ajanta Caves,Aurangabad,January,Winter,Yes,Cool,Medium,Foreign Tourists,Yes,Medium,Low,Low
Mahabaleshwar,Satara,March,Summer,Yes,Warm,Low,Solo Travelers,No,High,Low,Medium
Ellora Caves,Aurangabad,March,Summer,No,Hot,Low,Families,Yes,Medium,Low,Low
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,No,Pleasant,Medium,Students,Yes,Low,Low,Low
Panchgani,Satara,February,Winter,Yes,Pleasant,High,Couples,Yes,Medium,Low,Low
Gateway of India,Mumbai,December,Winter,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,Low
Khandala,Pune,September,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,Low
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Medium,Medium
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Panchgani,Satara,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,Medium
Raigad Fort,Raigad,January,Winter,No,Cool,Medium,Families,No,High,Medium,Medium
Aga Khan Palace,Pune,December,Winter,No,Cool,Medium,Couples,Yes,Low,Low,Medium
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,Medium
Elephanta Caves,Mumbai,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,Yes,Low,Low,Low
Trimbakeshwar Temple,Nashik,May,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,High,High
Mahabaleshwar,Satara,August,Monsoon,No,Humid,High,Foreign Tourists,Yes,Low,Low,High
Matheran,Raigad,June,Monsoon,Yes,Humid,Low,Students,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,May,Summer,No,Hot,Medium,Foreign Tourists,No,Medium,Low,High
Mahabaleshwar,Satara,September,Monsoon,No,Rainy,High,Couples,No,Low,Low,High
Pratapgad Fort,Satara,September,Monsoon,No,Rainy,High,Solo Travelers,Yes,Low,Low,High
Khandala,Pune,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Low,Low,Low
Pratapgad Fort,Satara,July,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Gateway of India,Mumbai,January,Winter,No,Cool,High,Solo Travelers,Yes,Low,Low,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,Yes,Humid,Medium,Solo Travelers,Yes,Medium,High,Low
Bhimashankar Temple,Pune,January,Winter,Yes,Pleasant,High,Students,Yes,Medium,High,Low
Mahabaleshwar,Satara,June,Monsoon,No,Humid,High,Students,No,Medium,Low,Low
Lonavala,Pune,October,Post-Monsoon,Yes,Pleasant,Medium,Families,No,High,Low,Medium
Panchgani,Satara,May,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Bhimashankar Temple,Pune,January,Winter,Yes,Cool,High,Couples,No,Medium,High,Medium
Trimbakeshwar Temple,Nashik,February,Winter,No,Pleasant,Medium,Couples,No,Low,High,Low
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,May,Summer,Yes,Warm,Medium,Couples,No,High,High,High
Ajanta Caves,Aurangabad,May,Summer,Yes,Warm,Medium,Solo Travelers,Yes,High,Low,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Medium,Medium
Elephanta Caves,Mumbai,August,Monsoon,Yes,Humid,High,Solo Travelers,No,High,Low,Medium
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Families,Yes,Low,Low,Low
Khandala,Pune,June,Monsoon,No,Rainy,High,Solo Travelers,No,Low,Low,Low
Elephanta Caves,Mumbai,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Panchgani,Satara,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Matheran,Raigad,September,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,High
Khandala,Pune,April,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Pratapgad Fort,Satara,June,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,High
Kaas Plateau,Satara,February,Winter,No,Cool,Low,Solo Travelers,No,Low,Low,High
Panchgani,Satara,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Low
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Low,Solo Travelers,No,High,Medium,Low
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Couples,No,Medium,Low,High
Khandala,Pune,March,Summer,No,Humid,Low,Families,No,Medium,Low,High
Mahabaleshwar,Satara,June,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,Low
Ajanta Caves,Aurangabad,June,Monsoon,Yes,Humid,Medium,Families,No,Medium,Medium,Low
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Foreign Tourists,Yes,High,High,Low
Trimbakeshwar Temple,Nashik,November,Post-Monsoon,No,Clear,Medium,Solo Travelers,No,High,High,Medium
Matheran,Raigad,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,Low
Lonavala,Pune,December,Winter,Yes,Cool,High,Couples,No,Low,Low,High
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,Yes,Medium,Low,High
Khandala,Pune,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Low
Bhimashankar Temple,Pune,October,Post-Monsoon,No,Clear,Medium,Students,Yes,High,High,Medium
Matheran,Raigad,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Raigad Fort,Raigad,March,Summer,No,Warm,Low,Students,No,Medium,Low,High
Elephanta Caves,Mumbai,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Ellora Caves,Aurangabad,April,Summer,No,Humid,Low,Couples,Yes,Medium,Low,Low
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,Yes,Medium,Medium,Medium
Ellora Caves,Aurangabad,January,Winter,Yes,Cool,Medium,Students,Yes,Medium,Low,High
Raigad Fort,Raigad,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,August,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Pratapgad Fort,Satara,December,Winter,No,Cool,Medium,Couples,No,Low,High,Medium
Shani Shingnapur,Ahmednagar,April,Summer,No,Hot,Low,Students,No,Medium,High,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Pleasant,Low,Students,Yes,Low,Low,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Clear,High,Couples,No,Low,High,Medium
Bhimashankar Temple,Pune,May,Summer,No,Hot,Low,Solo Travelers,No,Medium,High,Medium
Sindhudurg Fort,Sindhudurg,May,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Low
Daulatabad Fort,Aurangabad,February,Winter,No,Pleasant,Medium,Families,No,Low,Low,Low
Shirdi,Ahmednagar,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,High,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,High
Elephanta Caves,Mumbai,August,Monsoon,No,Rainy,Low,Students,No,Low,Low,Medium
Gateway of India,Mumbai,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,High
Ellora Caves,Aurangabad,March,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,High
Lonavala,Pune,December,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Medium
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,No,Pleasant,High,Solo Travelers,No,Low,High,Low
Ajanta Caves,Aurangabad,May,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,Medium
Ajanta Caves,Aurangabad,January,Winter,Yes,Cool,High,Families,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Medium,Medium
Mahabaleshwar,Satara,September,Monsoon,No,Humid,High,Students,Yes,Low,Low,Low
Pratapgad Fort,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,High,High
Aga Khan Palace,Pune,August,Monsoon,No,Rainy,High,Couples,No,High,Low,High
Elephanta Caves,Mumbai,December,Winter,No,Pleasant,Medium,Couples,Yes,Low,Low,High
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Solo Travelers,No,High,High,Medium
Raigad Fort,Raigad,May,Summer,No,Humid,Low,Families,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Matheran,Raigad,April,Summer,No,Hot,Low,Couples,Yes,Low,Low,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,High
Bhimashankar Temple,Pune,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,High,Medium
Bhimashankar Temple,Pune,September,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,High,Low
Tarkarli Beach,Sindhudurg,April,Summer,No,Warm,Low,Couples,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,December,Winter,No,Pleasant,Medium,Foreign Tourists,Yes,Low,High,High
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Humid,Low,Families,No,High,Low,Medium
Gateway of India,Mumbai,August,Monsoon,No,Humid,Medium,Solo Travelers,No,Low,Medium,High
Bhimashankar Temple,Pune,April,Summer,No,Hot,Low,Solo Travelers,No,High,High,Low
Mahabaleshwar,Satara,March,Summer,No,Hot,Medium,Families,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,July,Monsoon,No,Rainy,Medium,Solo Travelers,No,Low,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,Medium,Foreign Tourists,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,March,Summer,No,Hot,Low,Foreign Tourists,Yes,Medium,Low,Medium
Bhimashankar Temple,Pune,April,Summer,Yes,Warm,Medium,Solo Travelers,No,High,High,Medium
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Medium,High
Ajanta Caves,Aurangabad,January,Winter,Yes,Pleasant,Low,Solo Travelers,Yes,Medium,Low,Low
Bhimashankar Temple,Pune,May,Summer,Yes,Humid,Medium,Students,No,High,High,Low
Raigad Fort,Raigad,February,Winter,Yes,Cool,High,Students,Yes,High,Low,High
Matheran,Raigad,April,Summer,No,Humid,Low,Couples,No,Medium,Low,Low
Shirdi,Ahmednagar,August,Monsoon,Yes,Rainy,Medium,Families,No,Medium,High,Medium
Aga Khan Palace,Pune,February,Winter,No,Pleasant,High,Couples,Yes,Low,Low,Low
Ellora Caves,Aurangabad,February,Winter,No,Cool,Medium,Solo Travelers,Yes,Low,Low,Medium
Lonavala,Pune,March,Summer,No,Warm,Low,Solo Travelers,No,Medium,Medium,Low
Ellora Caves,Aurangabad,April,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,Low,Medium
